56,35-37,1.070 ,3.28 ,5.57,1.18 ,0.21,脆性
57,36-37,1.086 ,3.28 ,5.57,1.18 ,0.21,脆性
58,37-38,1.746 ,3.28 ,5.57,1.18 ,0.21,脆性
59,37-39,1.619 ,3.28 ,5.57,1.18 ,0.21,脆性
60,38-39,1.116 ,3.28 ,5.57,1.18 ,0.21,脆性
61,38-42,3.500 ,3.28 ,5.57,1.18 ,0.21,脆性
62,39-40,1.099 ,3.28 ,5.57,1.18 ,0.21,脆性
63,39-41,1.701 ,3.28 ,5.57,1.18 ,0.21,脆性
64,42-43,2.136 ,3.28 ,5.57,1.18 ,0.21,脆性
65,43-44,4.563 ,3.28 ,5.57,1.18 ,0.21,脆性
66,43-45,1.846 ,3.28 ,5.57,1.18 ,0.21,脆性
67,44-47,9.425 ,5.00 ,5.57,1.18 ,0.8,脆性
68,45-46,2.287 ,3.00 ,5.57,1.18 ,0.21,脆性
69,45-61,1.800 ,3.00 ,5.57,1.18 ,0.21,脆性
70,46-50,3.466 ,3.00 ,5.57,1.18 ,0.21,脆性
71,47-51,0.791 ,3.00 ,5.57,1.18 ,0.21,脆性
72,47-48,2.400 ,3.00 ,5.57,1.18 ,0.21,脆性
73,48-49,2.622 ,3.00 ,5.57,1.18 ,0.21,脆性
74,50-51,2.658 ,3.00 ,5.57,1.18 ,0.21,脆性
75,50-60,0.841 ,3.00 ,5.57,1.18 ,0.21,脆性
76,50-52,1.957 ,3.00 ,5.57,1.18 ,0.21,脆性
77,51-53,1.873 ,3.00 ,5.57,1.18 ,0.21,脆性
78,52-53,1.769 ,3.00 ,5.57,1.18 ,0.21,脆性
79,53-54,2.592 ,3.00 ,5.57,1.18 ,0.21,脆性
80,54-55,3.869 ,3.00 ,5.57,1.18 ,0.21,脆性
81,54-57,0.850 ,2.95 ,7.67,0.92 ,0.12,脆性
82,54-58,1.880 ,2.95 ,7.67,0.92 ,0.12,脆性
83,55-56,1.333 ,2.95 ,7.67,0.92 ,0.12,脆性
84,58-59,0.925 ,2.95 ,7.67,0.92 ,0.12,脆性
85,60-61,4.881 ,2.95 ,6.67,1.00 ,0.15,脆性
86,60-63,1.052 ,2.95 ,6.67,1.00 ,0.15,脆性
87,61-62,3.220 ,2.95 ,6.67,1.00 ,0.15,脆性
88,61-64,2.096 ,2.95 ,6.67,1.00 ,0.15,脆性
89,63-64,4.093 ,2.95 ,6.67,1.00 ,0.15,脆性
90,63-66,1.180 ,2.95 ,6.67,1.00 ,0.15,脆性
91,64-65,3.389 ,2.95 ,6.67,1.00 ,0.15,脆性
92,64-67,1.786 ,2.95 ,6.67,1.00 ,0.15,脆性
93,66-67,3.769 ,2.95 ,7.67,0.92 ,0.12,脆性
94,67-68,2.925 ,2.95 ,7.67,0.92 ,0.12,脆性
